 Energy     S        S^+       S^++      S^3+      S^4+      S^5+      S^6+      S^7+      S^8+      S^9+     S^10+     S^11+     S^12+     S^13+     S^14+     S^15+     S^16+
     81  6.61E-16  8.95E-16  1.43E-15  2.01E-15  2.56E-15  3.51E-15  4.07E-15  4.87E-15  5.12E-15  5.71E-15  6.62E-15  7.37E-15  8.15E-15  8.93E-15  8.05E-15  1.05E-14  1.13E-14
     82  6.61E-16  8.93E-16  1.43E-15  2.00E-15  2.55E-15  3.49E-15  4.05E-15  4.84E-15  5.11E-15  5.66E-15  6.57E-15  7.32E-15  8.10E-15  8.88E-15  7.75E-15  1.04E-14  1.12E-14
     83  6.61E-16  8.91E-16  1.42E-15  1.99E-15  2.55E-15  3.47E-15  4.02E-15  4.82E-15  5.09E-15  5.63E-15  6.53E-15  7.27E-15  8.06E-15  8.83E-15  7.49E-15  1.04E-14  1.12E-14
     84  6.61E-16  8.89E-16  1.42E-15  1.98E-15  2.54E-15  3.45E-15  4.00E-15  4.80E-15  5.08E-15  5.59E-15  6.49E-15  7.23E-15  8.01E-15  8.78E-15  7.25E-15  1.03E-14  1.11E-14
     85  6.61E-16  8.87E-16  1.41E-15  1.97E-15  2.54E-15  3.43E-15  3.98E-15  4.78E-15  5.08E-15  5.56E-15  6.45E-15  7.19E-15  7.98E-15  8.74E-15  7.04E-15  1.03E-14  1.11E-14
     86  6.61E-16  8.86E-16  1.41E-15  1.96E-15  2.54E-15  3.42E-15  3.97E-15  4.77E-15  5.08E-15  5.53E-15  6.42E-15  7.16E-15  7.94E-15  8.70E-15  6.84E-15  1.02E-14  1.10E-14
     87  6.61E-16  8.84E-16  1.41E-15  1.95E-15  2.54E-15  3.41E-15  3.95E-15  4.76E-15  5.09E-15  5.50E-15  6.39E-15  7.12E-15  7.91E-15  8.67E-15  6.67E-15  1.02E-14  1.10E-14
     88  6.62E-16  8.83E-16  1.40E-15  1.94E-15  2.54E-15  3.40E-15  3.94E-15  4.75E-15  5.10E-15  5.48E-15  6.36E-15  7.10E-15  7.88E-15  8.64E-15  6.52E-15  1.02E-14  1.10E-14
     89  6.62E-16  8.82E-16  1.40E-15  1.93E-15  2.55E-15  3.39E-15  3.93E-15  4.74E-15  5.12E-15  5.46E-15  6.33E-15  7.07E-15  7.85E-15  8.61E-15  6.38E-15  1.01E-14  1.09E-14
     90  6.62E-16  8.80E-16  1.40E-15  1.93E-15  2.55E-15  3.38E-15  3.92E-15  4.73E-15  5.14E-15  5.44E-15  6.31E-15  7.05E-15  7.83E-15  8.58E-15  6.25E-15  1.01E-14  1.09E-14
     91  6.62E-16  8.79E-16  1.40E-15  1.92E-15  2.56E-15  3.37E-15  3.92E-15  4.73E-15  5.16E-15  5.43E-15  6.29E-15  7.03E-15  7.81E-15  8.56E-15  6.14E-15  1.01E-14  1.09E-14
     92  6.62E-16  8.78E-16  1.39E-15  1.92E-15  2.57E-15  3.37E-15  3.91E-15  4.73E-15  5.20E-15  5.41E-15  6.28E-15  7.01E-15  7.80E-15  8.54E-15  6.04E-15  1.00E-14  1.09E-14
     93  6.63E-16  8.78E-16  1.39E-15  1.91E-15  2.58E-15  3.37E-15  3.91E-15  4.73E-15  5.23E-15  5.41E-15  6.27E-15  7.00E-15  7.78E-15  8.53E-15  5.95E-15  1.00E-14  1.08E-14
     94  6.63E-16  8.77E-16  1.39E-15  1.91E-15  2.59E-15  3.36E-15  3.91E-15  4.74E-15  5.27E-15  5.40E-15  6.26E-15  6.99E-15  7.77E-15  8.52E-15  5.87E-15  1.00E-14  1.08E-14
     95  6.63E-16  8.76E-16  1.39E-15  1.91E-15  2.60E-15  3.36E-15  3.91E-15  4.74E-15  5.32E-15  5.39E-15  6.25E-15  6.98E-15  7.76E-15  8.51E-15  5.80E-15  9.99E-15  1.08E-14
     96  6.64E-16  8.76E-16  1.39E-15  1.90E-15  2.61E-15  3.36E-15  3.92E-15  4.75E-15  5.37E-15  5.39E-15  6.25E-15  6.98E-15  7.76E-15  8.50E-15  5.74E-15  9.97E-15  1.08E-14
     97  6.64E-16  8.75E-16  1.39E-15  1.90E-15  2.63E-15  3.37E-15  3.92E-15  4.76E-15  5.42E-15  5.39E-15  6.24E-15  6.97E-15  7.76E-15  8.50E-15  5.68E-15  9.96E-15  1.08E-14
     98  6.64E-16  8.75E-16  1.38E-15  1.90E-15  2.64E-15  3.37E-15  3.93E-15  4.77E-15  5.48E-15  5.40E-15  6.24E-15  6.97E-15  7.76E-15  8.50E-15  5.63E-15  9.96E-15  1.08E-14
     99  6.65E-16  8.74E-16  1.38E-15  1.90E-15  2.66E-15  3.37E-15  3.94E-15  4.79E-15  5.54E-15  5.40E-15  6.25E-15  6.98E-15  7.76E-15  8.50E-15  5.59E-15  9.95E-15  1.08E-14
    100  6.65E-16  8.74E-16  1.38E-15  1.90E-15  2.68E-15  3.38E-15  3.95E-15  4.80E-15  5.62E-15  5.41E-15  6.26E-15  6.98E-15  7.77E-15  8.51E-15  5.55E-15  9.95E-15  1.08E-14
    101  6.64E-16  8.70E-16  1.37E-15  1.88E-15  2.65E-15  3.34E-15  3.90E-15  4.74E-15  5.55E-15  5.33E-15  6.15E-15  6.86E-15  7.63E-15  8.35E-15  5.50E-15  9.76E-15  1.06E-14
    102  6.63E-16  8.67E-16  1.36E-15  1.87E-15  2.62E-15  3.31E-15  3.86E-15  4.69E-15  5.48E-15  5.25E-15  6.05E-15  6.74E-15  7.49E-15  8.21E-15  5.45E-15  9.57E-15  1.04E-14
    103  6.61E-16  8.64E-16  1.35E-15  1.85E-15  2.59E-15  3.28E-15  3.82E-15  4.64E-15  5.42E-15  5.18E-15  5.96E-15  6.63E-15  7.36E-15  8.07E-15  5.40E-15  9.39E-15  1.02E-14
