 # Alt [km]  H2 [cm^-3]   He [cm^-3]  CH4 [cm^-3]  Tot [cm^-3]  Temp [K]  Press [mBar]  Scale height [km]
  2498.00    5.603E+05    8.758E+04    1.361E+03    6.492E+05    940.00    8.426E-11       1.556E+07
  2496.00    5.675E+05    8.870E+04    1.379E+03    6.576E+05    940.00    8.534E-11       1.576E+07
  2494.00    5.747E+05    8.983E+04    1.396E+03    6.659E+05    940.00    8.642E-11       1.596E+07
  2492.00    5.819E+05    9.095E+04    1.414E+03    6.743E+05    940.00    8.751E-11       1.639E+07
  2490.00    5.890E+05    9.206E+04    1.431E+03    6.825E+05    940.00    8.857E-11       1.683E+07
  2488.00    5.960E+05    9.316E+04    1.448E+03    6.906E+05    940.00    8.963E-11       1.703E+07
  2486.00    6.030E+05    9.425E+04    1.465E+03    6.987E+05    940.00    9.068E-11       1.723E+07
  2484.00    6.100E+05    9.534E+04    1.482E+03    7.068E+05    940.00    9.173E-11       1.768E+07
  2482.00    6.169E+05    9.642E+04    1.499E+03    7.148E+05    940.00    9.277E-11       1.763E+07
  2480.00    6.239E+05    9.752E+04    1.516E+03    7.229E+05    940.00    9.382E-11       1.783E+07
  2478.00    6.309E+05    9.861E+04    1.533E+03    7.310E+05    940.00    9.488E-11       1.777E+07
  2476.00    6.380E+05    9.972E+04    1.550E+03    7.393E+05    940.00    9.594E-11       1.772E+07
