 # Alt [km]  H2 [cm^-2]   He [cm^-2]  CH4 [cm^-2]   Tot [cm^-2]  Scale height [km]
  2416.00    1.494E+13    2.336E+12    3.631E+10    7.222E+13     1.707E+07
  2414.00    1.519E+13    2.374E+12    3.691E+10    7.310E+13     1.680E+07
  2412.00    1.532E+13    2.394E+12    3.721E+10    7.354E+13     1.669E+07
  2410.00    1.557E+13    2.434E+12    3.783E+10    7.444E+13     1.645E+07
  2408.00    1.570E+13    2.454E+12    3.814E+10    7.489E+13     1.623E+07
  2406.00    1.596E+13    2.494E+12    3.877E+10    7.580E+13     1.616E+07
  2404.00    1.609E+13    2.515E+12    3.909E+10    7.626E+13     1.596E+07
  2402.00    1.636E+13    2.556E+12    3.973E+10    7.719E+13     1.603E+07
  2400.00    1.649E+13    2.577E+12    4.006E+10    7.766E+13     1.548E+07
  2398.00    1.676E+13    2.620E+12    4.072E+10    7.860E+13     1.698E+07
  2396.00    1.690E+13    2.642E+12    4.106E+10    7.908E+13     1.586E+07
  2394.00    1.718E+13    2.685E+12    4.174E+10    8.004E+13     1.606E+07
  2392.00    1.732E+13    2.707E+12    4.208E+10    8.053E+13     1.626E+07
  2390.00    1.761E+13    2.752E+12    4.278E+10    8.151E+13     1.646E+07
  2388.00    1.775E+13    2.775E+12    4.313E+10    8.201E+13     1.666E+07
  2386.00    1.805E+13    2.821E+12    4.384E+10    8.301E+13     1.686E+07
  2384.00    1.820E+13    2.844E+12    4.420E+10    8.351E+13     1.706E+07
  2382.00    1.850E+13    2.891E+12    4.493E+10    8.453E+13     1.603E+07
  2380.00    1.865E+13    2.915E+12    4.530E+10    8.504E+13     1.748E+07
  2378.00    1.895E+13    2.963E+12    4.605E+10    8.607E+13     1.641E+07
  2376.00    1.911E+13    2.987E+12    4.643E+10    8.659E+13     1.789E+07
  2374.00    1.943E+13    3.036E+12    4.719E+10    8.764E+13     1.680E+07
  2372.00    1.959E+13    3.061E+12    4.758E+10    8.817E+13     1.587E+07
  2370.00    1.991E+13    3.112E+12    4.836E+10    8.924E+13     1.721E+07
  2368.00    2.007E+13    3.137E+12    4.876E+10    8.978E+13     1.625E+07
  2366.00    2.040E+13    3.189E+12    4.956E+10    9.087E+13     1.645E+07
  2364.00    2.057E+13    3.215E+12    4.997E+10    9.141E+13     1.665E+07
  2362.00    2.091E+13    3.268E+12    5.079E+10    9.252E+13     1.580E+07
